strategy,budget_consumed,simple_regret_mean,ci95_low,ci95_high,n_runs
uniform,1520896,24.22407407407407,17.905337013257697,30.542811134890446,18
uniform,1553664,25.028518518518517,18.758465210753805,31.29857182628323,18
uniform,1586432,24.946740740740736,19.319552126572233,30.57392935490924,18
uniform,1619200,24.10656296296296,18.805699336678906,29.407426589247017,18
uniform,1651968,23.55578962962963,18.666981646613298,28.444597612645957,18
uniform,1684736,23.100881185185184,18.311002723986654,27.89075964638371,18
uniform,1717504,23.004232414814812,18.45028854977752,27.5581762798521,18
uniform,1750272,21.6173542637037,17.242562100227218,25.992146427180174,18
uniform,1783040,20.725968113777775,16.28486823662748,25.167067990928064,18
uniform,1815808,19.931877164562955,15.66912450262885,24.194629826497064,18
uniform,1848576,19.67542259503407,15.920370502199301,23.430474687868838,18
uniform,1881344,19.34377207553896,15.598535849014052,23.089008302063867,18
uniform,1914112,18.588485467545595,14.953979533682352,22.22299140140884,18
uniform,1946880,18.99605424349032,15.145991543199708,22.846116943780935,18
uniform,1979648,19.631706620168266,15.88994560396144,23.37346763637509,18
uniform,2012416,18.7597647128417,15.180336237034135,22.33919318864926,18
uniform,2045184,19.041784753630942,15.678440652043992,22.405128855217892,18
uniform,2077952,18.205811592919307,15.007600906030753,21.40402227980786,18
uniform,2110720,17.696079548344173,14.812245117091557,20.579913979596792,18
uniform,2143488,16.930981062339836,13.372745469668729,20.48921665501095,18
uniform,2176256,15.491921970737232,11.889785364930214,19.094058576544256,18
uniform,2209024,14.34478281207197,10.930427422506325,17.759138201637615,18
uniform,2241792,13.580943761317254,9.839632230690235,17.322255291944273,18
uniform,2274560,12.49745514567924,8.760096692854301,16.234813598504175,18
uniform,2307328,12.028102717037171,8.064364458562737,15.991840975511606,18
uniform,2340096,11.165750519111192,7.311834558070147,15.019666480152235,18
uniform,2372864,10.78611697813338,7.206739271727976,14.365494684538783,18
uniform,2405632,10.595373890583732,7.37921371949926,13.811534061668205,18
uniform,2438400,10.492039149165052,7.489741976145004,13.494336322185102,18
uniform,2471168,9.581149415424957,6.515688153905343,12.64661067694457,18
uniform,2503936,8.983504464069789,5.9367959505996035,12.030212977539973,18
uniform,2536704,8.476028604367798,5.229815813254694,11.7222413954809,18
uniform,2569472,8.4078393848429,4.997756849273907,11.81792192041189,18
uniform,2602240,7.418777704979812,4.418154636440715,10.419400773518909,18
uniform,2635008,6.577192548913812,3.742219665411576,9.412165432416048,18
uniform,2667776,6.293722936755694,3.1620103234679204,9.425435550043467,18
uniform,2700544,6.292530058349711,3.1359393895146175,9.449120727184802,18
uniform,2733312,5.930332849824641,2.4660896961084657,9.394576003540813,18
uniform,2766080,5.507829339524414,1.982787534710141,9.032871144338685,18
uniform,2798848,5.086179085196129,1.8412565022073697,8.331101668184887,18
uniform,2831616,4.670966710376936,1.3962174243575383,7.945715996396332,18
uniform,2864384,4.4070244706706045,1.352001622565083,7.4620473187761265,18
uniform,2897152,4.390140608328288,1.326064244375122,7.454216972281454,18
uniform,2929920,3.9288991798117867,1.138801230447,6.718997129176573,18
uniform,2962688,3.876598767146332,0.9295680348492282,6.8236294994434346,18
