strategy,delta,budget_consumed,success_prob_mean,ci95_low,ci95_high,n_runs
uniform,8.158431221748456,1520896,0.05555555555555555,0.0,0.16444444444444445,18
uniform,8.158431221748456,1553664,0.05555555555555555,0.0,0.16444444444444445,18
uniform,8.158431221748456,1586432,0.03333333333333333,0.0,0.09866666666666667,18
uniform,8.158431221748456,1619200,0.02,0.0,0.059199999999999996,18
uniform,8.158431221748456,1651968,0.012,0.0,0.035519999999999996,18
uniform,8.158431221748456,1684736,0.029422222222222225,0.0,0.08708977777777778,18
uniform,8.158431221748456,1717504,0.017653333333333333,0.0,0.05225386666666667,18
uniform,8.158431221748456,1750272,0.032814222222222224,0.0,0.09713009777777779,18
uniform,8.158431221748456,1783040,0.06413297777777778,0.0,0.1624802323341009,18
uniform,8.158431221748456,1815808,0.060702008888888895,0.0,0.1632659171782383,18
uniform,8.158431221748456,1848576,0.03642120533333334,0.0,0.09795955030694298,18
uniform,8.158431221748456,1881344,0.08851938986666667,0.0,0.1963063464049268,18
uniform,8.158431221748456,1914112,0.09755607836444445,0.0,0.22198598151039028,18
uniform,8.158431221748456,1946880,0.10297809146311111,0.0,0.2373937625736684,18
uniform,8.158431221748456,1979648,0.061786854877866663,0.0,0.14243625754420103,18
uniform,8.158431221748456,2012416,0.08151655737116445,0.0,0.18966392819395483,18
uniform,8.158431221748456,2045184,0.0711321566449209,0.0,0.17957613469415068,18
uniform,8.158431221748456,2077952,0.06490151620917475,0.0,0.17352345859426818,18
uniform,8.158431221748456,2110720,0.06116313194772707,0.0,0.16989185293433867,18
uniform,8.158431221748456,2143488,0.10336454583530291,0.0,0.23946572798136423,18
uniform,8.158431221748456,2176256,0.15090761639007064,0.009836843669904905,0.31162037089669137,18
uniform,8.158431221748456,2209024,0.17943345872293126,0.01573894987184785,0.3549131566458877,18
uniform,8.158431221748456,2241792,0.21877118634486986,0.03538661313449293,0.4092268729983706,18
uniform,8.158431221748456,2274560,0.2868182673624775,0.08409078375090212,0.4937884190399271,18
uniform,8.158431221748456,2307328,0.32764651597304206,0.11331328612074763,0.544525346664861,18
uniform,8.158431221748456,2340096,0.37436568736160303,0.15128048337810057,0.5989782518488201,18
uniform,8.158431221748456,2372864,0.3357305235280729,0.11671153323824456,0.5556659301201301,18
uniform,8.158431221748456,2405632,0.2681049807835104,0.07002691994294673,0.47093017429283907,18
uniform,8.158431221748456,2438400,0.2719740995812174,0.06795939517715226,0.4788370835865414,18
uniform,8.158431221748456,2471168,0.318740015304286,0.10363445297649772,0.5355545453928297,18
uniform,8.158431221748456,2503936,0.3690217869603494,0.1454731834915506,0.5935957710856014,18
