alpha,n_pairs,ocba_hit_rate,uniform_hit_rate,ocba_round_mean,uniform_round_mean,delta_round_mean_ocba_minus_uniform,ocba_round_median,uniform_round_median,delta_round_median_ocba_minus_uniform,ocba_steps_mean_to_hit,uniform_steps_mean_to_hit,delta_steps_mean_to_hit_ocba_minus_uniform,ocba_steps_median_to_hit,uniform_steps_median_to_hit,delta_steps_median_to_hit_ocba_minus_uniform
0.5,309,1.0,0.9902912621359223,1.2394822006472492,1.4607843137254901,-0.22130211307824088,0.0,0.0,0.0,27711.81877022654,25853.908496732027,1857.9102734945118,24000.0,24000.0,0.0
0.6,309,0.9838187702265372,0.9805825242718447,2.5065789473684212,3.1386138613861387,-0.6320349140177175,0.0,0.0,0.0,31516.36842105263,27916.884488448846,3599.4839326037836,24000.0,24000.0,0.0
0.7,309,0.9611650485436893,0.941747572815534,4.424242424242424,5.326460481099656,-0.9022180568572322,1.0,1.0,0.0,37245.14478114478,30323.463917525773,6921.680863619007,27000.0,26048.0,952.0
0.8,309,0.9449838187702265,0.883495145631068,6.219178082191781,9.036630036630036,-2.8174519544382557,2.0,1.0,1.0,42622.46575342466,34131.22344322344,8491.242310201218,30000.0,26048.0,3952.0
0.85,309,0.941747572815534,0.8543689320388349,6.962199312714777,10.041666666666666,-3.0794673539518893,3.0,2.0,1.0,44851.408934707906,35322.181818181816,9529.22711652609,33000.0,27072.0,5928.0
0.9,309,0.8284789644012945,0.8058252427184466,6.88671875,11.875502008032129,-4.988783258032129,2.0,2.0,0.0,44604.15625,37221.52610441767,7382.630145582327,30000.0,27072.0,2928.0
0.95,309,0.8252427184466019,0.7864077669902912,7.003921568627451,12.193415637860083,-5.189494069232632,2.0,2.0,0.0,44955.54509803921,37556.411522633745,7399.133575405467,30000.0,28096.0,1904.0
1.0,309,0.8252427184466019,0.7831715210355987,7.003921568627451,12.119834710743802,-5.1159131421163515,2.0,2.0,0.0,44955.54509803921,37472.79338842975,7482.75170960946,30000.0,27584.0,2416.0
