strategy,factual_rank,n_runs,delta_fraction_mean,ci95_low,ci95_high
ocba,1,13,0.15512820512820513,0.14457884710815916,0.1656775631482511
adapted_ocba,1,13,0.1544871794871795,0.12855516398494965,0.18041919498940934
ocba,2,13,0.15512820512820513,0.14654528910201675,0.1637111211543935
adapted_ocba,2,13,0.1634615384615385,0.14676183419091512,0.18016124273216186
ocba,3,13,-0.1564102564102564,-0.16656569960677137,-0.14625481321374145
adapted_ocba,3,13,-0.16282051282051285,-0.1758472516193982,-0.1497937740216275
ocba,4,13,-0.15384615384615385,-0.16338715387598005,-0.14430515381632766
adapted_ocba,4,13,-0.15512820512820513,-0.18457577421302906,-0.1256806360433812
