run_id,strategy,candidate,true_mean_final,allocation_cumulative,fraction_of_total,total_budget
run_20260503_141213,ocba,deceptive,0.15,360448.0,0.09166666666666666,3932160.0
run_20260503_141213,ocba,bad,0.0,327680.0,0.08333333333333333,3932160.0
run_20260503_141213,adapted_ocba,safe_distance,0.575,1671168.0,0.425,3932160.0
run_20260503_141213,adapted_ocba,risk_aware,0.5875,1441792.0,0.36666666666666664,3932160.0
run_20260503_141213,adapted_ocba,deceptive,0.1625,557056.0,0.14166666666666666,3932160.0
run_20260503_141213,adapted_ocba,bad,0.0,262144.0,0.06666666666666667,3932160.0
run_20260503_141217,uniform,safe_distance,0.5875,983040.0,0.25,3932160.0
run_20260503_141217,uniform,risk_aware,0.575,983040.0,0.25,3932160.0
run_20260503_141217,uniform,deceptive,0.0,983040.0,0.25,3932160.0
run_20260503_141217,uniform,bad,0.0,983040.0,0.25,3932160.0
run_20260503_141217,ocba,safe_distance,0.55,1441792.0,0.36666666666666664,3932160.0
run_20260503_141217,ocba,risk_aware,0.575,1703936.0,0.43333333333333335,3932160.0
run_20260503_141217,ocba,deceptive,0.2875,524288.0,0.13333333333333333,3932160.0
run_20260503_141217,ocba,bad,0.0,262144.0,0.06666666666666667,3932160.0
run_20260503_141217,adapted_ocba,safe_distance,0.5375,1703936.0,0.43333333333333335,3932160.0
run_20260503_141217,adapted_ocba,risk_aware,0.575,1703936.0,0.43333333333333335,3932160.0
run_20260503_141217,adapted_ocba,deceptive,0.0,262144.0,0.06666666666666667,3932160.0
run_20260503_141217,adapted_ocba,bad,0.0125,262144.0,0.06666666666666667,3932160.0
run_20260503_141219,uniform,safe_distance,0.575,983040.0,0.25,3932160.0
run_20260503_141219,uniform,risk_aware,0.5,983040.0,0.25,3932160.0
run_20260503_141219,uniform,deceptive,0.0,983040.0,0.25,3932160.0
run_20260503_141219,uniform,bad,0.0,983040.0,0.25,3932160.0
run_20260503_141219,ocba,safe_distance,0.55,1671168.0,0.425,3932160.0
run_20260503_141219,ocba,risk_aware,0.55,1671168.0,0.425,3932160.0
run_20260503_141219,ocba,deceptive,0.0,294912.0,0.075,3932160.0
run_20260503_141219,ocba,bad,0.0,294912.0,0.075,3932160.0
run_20260503_141219,adapted_ocba,safe_distance,0.5375,1703936.0,0.43333333333333335,3932160.0
run_20260503_141219,adapted_ocba,risk_aware,0.575,1703936.0,0.43333333333333335,3932160.0
run_20260503_141219,adapted_ocba,deceptive,0.0,262144.0,0.06666666666666667,3932160.0
run_20260503_141219,adapted_ocba,bad,0.0,262144.0,0.06666666666666667,3932160.0
run_20260503_141221,uniform,safe_distance,0.55,983040.0,0.25,3932160.0
run_20260503_141221,uniform,risk_aware,0.5625,983040.0,0.25,3932160.0
run_20260503_141221,uniform,deceptive,0.1375,983040.0,0.25,3932160.0
run_20260503_141221,uniform,bad,0.025,983040.0,0.25,3932160.0
run_20260503_141221,ocba,safe_distance,0.5625,1605632.0,0.4083333333333333,3932160.0
run_20260503_141221,ocba,risk_aware,0.575,1572864.0,0.4,3932160.0
run_20260503_141221,ocba,deceptive,0.05,425984.0,0.10833333333333334,3932160.0
run_20260503_141221,ocba,bad,0.0,327680.0,0.08333333333333333,3932160.0
run_20260503_141221,adapted_ocba,safe_distance,0.525,1245184.0,0.31666666666666665,3932160.0
run_20260503_141221,adapted_ocba,risk_aware,0.575,1638400.0,0.4166666666666667,3932160.0
run_20260503_141221,adapted_ocba,deceptive,0.0,720896.0,0.18333333333333332,3932160.0
run_20260503_141221,adapted_ocba,bad,0.0,327680.0,0.08333333333333333,3932160.0
run_20260503_142622,uniform,safe_distance,0.5875,983040.0,0.25,3932160.0
run_20260503_142622,uniform,risk_aware,0.475,983040.0,0.25,3932160.0
run_20260503_142622,uniform,deceptive,0.0,983040.0,0.25,3932160.0
run_20260503_142622,uniform,bad,0.0125,983040.0,0.25,3932160.0
run_20260503_142622,ocba,safe_distance,0.575,1638400.0,0.4166666666666667,3932160.0
run_20260503_142622,ocba,risk_aware,0.5375,1638400.0,0.4166666666666667,3932160.0
run_20260503_142622,ocba,deceptive,0.0,360448.0,0.09166666666666666,3932160.0
run_20260503_142622,ocba,bad,0.0125,294912.0,0.075,3932160.0
run_20260503_142622,adapted_ocba,safe_distance,0.5625,1703936.0,0.43333333333333335,3932160.0
run_20260503_142622,adapted_ocba,risk_aware,0.55,1671168.0,0.425,3932160.0
run_20260503_142622,adapted_ocba,deceptive,0.2,294912.0,0.075,3932160.0
run_20260503_142622,adapted_ocba,bad,0.0125,262144.0,0.06666666666666667,3932160.0
run_20260503_142624,uniform,safe_distance,0.475,983040.0,0.25,3932160.0
run_20260503_142624,uniform,risk_aware,0.525,983040.0,0.25,3932160.0
run_20260503_142624,uniform,deceptive,0.0,983040.0,0.25,3932160.0
run_20260503_142624,uniform,bad,0.0,983040.0,0.25,3932160.0
run_20260503_142624,ocba,safe_distance,0.625,1605632.0,0.4083333333333333,3932160.0
run_20260503_142624,ocba,risk_aware,0.525,1605632.0,0.4083333333333333,3932160.0
run_20260503_142624,ocba,deceptive,0.0,360448.0,0.09166666666666666,3932160.0
run_20260503_142624,ocba,bad,0.0125,360448.0,0.09166666666666666,3932160.0
run_20260503_142624,adapted_ocba,safe_distance,0.575,1572864.0,0.4,3932160.0
run_20260503_142624,adapted_ocba,risk_aware,0.5875,1572864.0,0.4,3932160.0
run_20260503_142624,adapted_ocba,deceptive,0.2,491520.0,0.125,3932160.0
run_20260503_142624,adapted_ocba,bad,0.0,294912.0,0.075,3932160.0
run_20260503_142625,uniform,safe_distance,0.575,983040.0,0.25,3932160.0
run_20260503_142625,uniform,risk_aware,0.5375,983040.0,0.25,3932160.0
run_20260503_142625,uniform,deceptive,0.0,983040.0,0.25,3932160.0
run_20260503_142625,uniform,bad,0.025,983040.0,0.25,3932160.0
run_20260503_142625,ocba,safe_distance,0.575,1605632.0,0.4083333333333333,3932160.0
run_20260503_142625,ocba,risk_aware,0.5875,1605632.0,0.4083333333333333,3932160.0
run_20260503_142625,ocba,deceptive,0.0,425984.0,0.10833333333333334,3932160.0
run_20260503_142625,ocba,bad,0.0,294912.0,0.075,3932160.0
run_20260503_142625,adapted_ocba,safe_distance,0.575,1638400.0,0.4166666666666667,3932160.0
run_20260503_142625,adapted_ocba,risk_aware,0.5875,1605632.0,0.4083333333333333,3932160.0
run_20260503_142625,adapted_ocba,deceptive,0.225,425984.0,0.10833333333333334,3932160.0
run_20260503_142625,adapted_ocba,bad,0.0,262144.0,0.06666666666666667,3932160.0
run_20260503_142632,uniform,safe_distance,0.575,983040.0,0.25,3932160.0
run_20260503_142632,uniform,risk_aware,0.575,983040.0,0.25,3932160.0
run_20260503_142632,uniform,deceptive,0.0,983040.0,0.25,3932160.0
run_20260503_142632,uniform,bad,0.0,983040.0,0.25,3932160.0
run_20260503_142632,ocba,safe_distance,0.55,1540096.0,0.39166666666666666,3932160.0
run_20260503_142632,ocba,risk_aware,0.5375,1540096.0,0.39166666666666666,3932160.0
run_20260503_142632,ocba,deceptive,0.0,425984.0,0.10833333333333334,3932160.0
run_20260503_142632,ocba,bad,0.0,425984.0,0.10833333333333334,3932160.0
run_20260503_142632,adapted_ocba,safe_distance,0.55,1671168.0,0.425,3932160.0
run_20260503_142632,adapted_ocba,risk_aware,0.575,1671168.0,0.425,3932160.0
run_20260503_142632,adapted_ocba,deceptive,0.0,327680.0,0.08333333333333333,3932160.0
run_20260503_142632,adapted_ocba,bad,0.0,262144.0,0.06666666666666667,3932160.0
