candidate,rank_by_mean_final_true_uniform,mean_final_true_uniform,var_final_true_uniform,std_final_true_uniform,n_uniform_runs
safe_distance,1,0.5605769230769231,0.0012199519230769236,0.0349278101672138,13
risk_aware,2,0.5298076923076923,0.0015504807692307686,0.03937614467200628,13
deceptive,3,0.01153846153846154,0.0014443108974358972,0.038004090535571265,13
bad,4,0.007692307692307693,0.00017027243589743586,0.013048848067834795,13
