strategy,n_runs,added_budget_at_hit_mean,ci95_low,ci95_high
uniform,13,604947.6923076923,138138.12883327994,1071757.2557821046
ocba,13,806596.9230769231,197930.33016734524,1415263.515986501
adapted_ocba,13,725937.2307692308,189089.86522641755,1262784.596312044
