strategy,added_budget,simple_regret_mean,ci95_low,ci95_high,n_runs
uniform,720896,19.731249999999996,13.968156619648768,25.494343380351225,16
uniform,753664,19.581249999999997,13.984912818450475,25.17758718154952,16
uniform,786432,19.72958333333333,14.021858127528219,25.43730853913844,16
uniform,819200,19.129416666666664,13.62035006677286,24.638483266560467,16
uniform,851968,19.594316666666664,13.977491464612253,25.211141868721075,16
uniform,884736,19.054923333333328,13.518775959319651,24.591070707347008,16
uniform,917504,18.475453999999996,13.029599196270942,23.921308803729048,16
uniform,950272,18.371939066666663,13.138851741206118,23.605026392127208,16
uniform,983040,17.544830106666666,12.485255235845731,22.604404977487597,16
uniform,1015808,17.544398064,12.324580597484335,22.764215530515663,16
uniform,1048576,17.795805505066664,12.187133937939423,23.404477072193906,16
uniform,1081344,16.60081663637333,11.44553838479074,21.75609488795592,16
uniform,1114112,15.748823315157331,10.638432344330369,20.859214285984294,16
uniform,1146880,15.861793989094398,11.186778252340035,20.53680972584876,16
uniform,1179648,15.527076393456639,11.011634960919139,20.042517825994135,16
uniform,1212416,15.864579169407317,11.242672561160564,20.486485777654067,16
uniform,1245184,15.056247501644389,10.371613925153277,19.7408810781355,16
uniform,1277952,14.8229151676533,10.333063747445888,19.31276658786071,16
uniform,1310720,14.092915767258646,9.731920702570905,18.453910831946388,16
uniform,1343488,12.473249460355188,8.477563466900815,16.46893545380956,16
uniform,1376256,10.552283009546445,6.770483157185814,14.334082861907074,16
uniform,1409024,9.038869805727865,5.392367636694827,12.685371974760905,16
uniform,1441792,7.711655216770051,3.943186101486419,11.480124332053684,16
uniform,1474560,7.623659796728695,3.8096034825164815,11.437716110940912,16
uniform,1507328,7.3808625447038825,3.463925034305417,11.29780005510235,16
uniform,1540096,6.377684193488995,2.4372107975645525,10.318157589413438,16
uniform,1572864,5.664110516093396,1.6633197757200804,9.664901256466713,16
uniform,1605632,4.9951329763227035,1.3686377248316224,8.621628227813785,16
uniform,1638400,5.282913119126954,2.147035411677663,8.418790826576247,16
uniform,1671168,5.025581204809505,1.9844410557359593,8.06672135388305,16
uniform,1703936,5.669515389552369,2.966588407231283,8.372442371873454,16
uniform,1736704,6.190875900398086,3.449117029295682,8.93263477150049,16
uniform,1769472,5.844525540238851,2.88874937366492,8.800301706812782,16
uniform,1802240,6.075048657476643,3.197938443777633,8.952158871175651,16
uniform,1835008,6.599195861152651,4.090273961714364,9.108117760590938,16
