strategy,delta,added_budget,success_prob_mean,ci95_low,ci95_high,n_runs
uniform,8.158431221748456,720896,0.1875,0.0,0.3850253148333145,16
uniform,8.158431221748456,753664,0.1875,0.0,0.3850253148333145,16
uniform,8.158431221748456,786432,0.1875,0.0,0.3850253148333145,16
uniform,8.158431221748456,819200,0.1875,0.0,0.3850253148333145,16
uniform,8.158431221748456,851968,0.2125,0.012346135282008253,0.41866905361798046,16
uniform,8.158431221748456,884736,0.2025,0.007407681169204951,0.4052115581041141,16
uniform,8.158431221748456,917504,0.1965,0.004444608701522971,0.39713706079579425,16
uniform,8.158431221748456,950272,0.19290000000000002,0.0026667652209137823,0.39229236241080234,16
uniform,8.158431221748456,983040,0.16574,0.0016000591325482693,0.35232216245075076,16
uniform,8.158431221748456,1015808,0.174444,0.0009600354795289615,0.3654034234037763,16
uniform,8.158431221748456,1048576,0.2046664,0.01292215656972563,0.40689591876025755,16
uniform,8.158431221748456,1081344,0.22279984,0.02009942922384363,0.4317914159741463,16
uniform,8.158431221748456,1114112,0.25867990399999996,0.04323180097418504,0.4779027061446089,16
uniform,8.158431221748456,1146880,0.20520794239999995,0.025939080584511023,0.4036883686910347,16
uniform,8.158431221748456,1179648,0.19812476543999996,0.015563448350706614,0.3962231471479466,16
uniform,8.158431221748456,1212416,0.243874859264,0.040510212450302834,0.4565617448488891,16
uniform,8.158431221748456,1245184,0.2713249155584,0.055478270910060565,0.4927649034694546,16
uniform,8.158431221748456,1277952,0.28779494933504,0.0644591059859152,0.5144867986417939,16
uniform,8.158431221748456,1310720,0.322676969601024,0.09067546359154913,0.5566920791850763,16
uniform,8.158431221748456,1343488,0.3936061817606144,0.15319131337404232,0.635229212291933,16
uniform,8.158431221748456,1376256,0.48616370905636863,0.2439147880244254,0.7291375273751598,16
uniform,8.158431221748456,1409024,0.5416982254338212,0.2983488728146553,0.7854825164250959,16
uniform,8.158431221748456,1441792,0.6000189352602927,0.36018146712867205,0.8401173664151786,16
uniform,8.158431221748456,1474560,0.6100113611561756,0.36810888027720323,0.8520704198491071,16
uniform,8.158431221748456,1507328,0.6410068166937053,0.4020374716062008,0.8800701084695854,16
uniform,8.158431221748456,1540096,0.6846040900162231,0.4535686182457287,0.915695929799743,16
uniform,8.158431221748456,1572864,0.6857624540097339,0.4533133143873161,0.918245414439967,16
uniform,8.158431221748456,1605632,0.7114574724058405,0.4843341239143979,0.9386011133819719,16
uniform,8.158431221748456,1638400,0.7018744834435042,0.4717726177885176,0.9319885245893044,16
uniform,8.158431221748456,1671168,0.6461246900661025,0.40764345316670647,0.8846132322599867,16
uniform,8.158431221748456,1703936,0.6126748140396615,0.3691659543936198,0.8561880568623961,16
uniform,8.158431221748456,1736704,0.567604888423797,0.32028560785528476,0.8149267988983249,16
uniform,8.158431221748456,1769472,0.5905629330542781,0.3441713647131709,0.836956079338995,16
uniform,8.158431221748456,1802240,0.6043377598325668,0.3585028188279026,0.850173647603397,16
uniform,8.158431221748456,1835008,0.5626026558995401,0.3138877265158544,0.8113181533429255,16
uniform,8.158431221748456,1867776,0.587561593539724,0.3403326359095127,0.8347908920057553,16
uniform,8.158431221748456,1900544,0.6025369561238344,0.35619958154570763,0.8488745352034532,16
